Date,amzn,tsla
2023-12-18,154.070007,252.080002
2023-12-19,153.789993,257.220001
2023-12-20,152.119995,247.139999
2023-12-21,153.839996,254.5
2023-12-22,153.419998,252.539993
2023-12-26,153.410004,256.609985
2023-12-27,153.339996,261.440002
2023-12-28,153.380005,253.179993
2023-12-29,151.940002,248.479996
2024-01-02,149.929993,248.419998
2024-01-03,148.470001,238.449997
2024-01-04,144.570007,237.929993
2024-01-05,145.240005,237.490005
2024-01-08,149.100006,240.449997
2024-01-09,151.369995,234.960007
2024-01-10,153.729996,233.940002
2024-01-11,155.179993,227.220001
2024-01-12,154.619995,218.889999
2024-01-16,153.160004,219.910004
2024-01-17,151.710007,215.550003
2024-01-18,153.5,211.880005
2024-01-19,155.339996,212.190002
2024-01-22,154.779999,208.800003
2024-01-23,156.020004,209.139999
2024-01-24,156.869995,207.830002
2024-01-25,157.75,182.630005
2024-01-26,159.119995,183.25
2024-01-29,161.259995,190.929993
2024-01-30,159.0,191.589996
2024-01-31,155.199997,187.289993
2024-02-01,159.279999,188.860001
2024-02-02,171.809998,187.910004
2024-02-05,170.309998,181.059998
2024-02-06,169.149994,185.100006
2024-02-07,170.529999,187.580002
2024-02-08,169.839996,189.559998
2024-02-09,174.449997,193.570007
2024-02-12,172.339996,188.130005
2024-02-13,168.639999,184.020004
2024-02-14,170.979996,188.710007
2024-02-15,169.800003,200.449997
2024-02-16,169.509995,199.949997
2024-02-20,167.080002,193.759995
2024-02-21,168.589996,194.770004
2024-02-22,174.580002,197.410004
2024-02-23,174.990005,191.970001
2024-02-26,174.729996,199.399994
2024-02-27,173.539993,199.729996
2024-02-28,173.160004,202.039993
2024-02-29,176.759995,201.880005
2024-03-01,178.220001,202.639999
2024-03-04,177.580002,188.139999
2024-03-05,174.119995,180.740005
2024-03-06,173.509995,176.539993
2024-03-07,176.820007,178.649994
2024-03-08,175.350006,175.339996
2024-03-11,171.960007,177.770004
2024-03-12,175.389999,177.539993
2024-03-13,176.559998,169.479996
2024-03-14,178.75,162.5
2024-03-15,174.419998,163.570007
2024-03-18,174.479996,173.800003
2024-03-19,175.899994,171.320007
2024-03-20,178.149994,175.660004
2024-03-21,178.149994,172.820007
2024-03-22,178.869995,170.830002
2024-03-25,179.710007,172.630005
2024-03-26,178.300003,177.669998
2024-03-27,179.830002,179.830002
2024-03-28,180.380005,175.789993
2024-04-01,180.970001,175.220001
2024-04-02,180.690002,166.630005
2024-04-03,182.410004,168.380005
2024-04-04,180.0,171.110001
2024-04-05,185.070007,164.899994
2024-04-08,185.190002,172.979996
2024-04-09,185.669998,176.880005
